"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 14:54:25 GMT 2024","Fri Mar 22 14:54:26 GMT 2024","850","tests","test_cart","TestCart","","","Проверка наличия товаров в корзине",""
"passed","Fri Mar 22 14:54:33 GMT 2024","Fri Mar 22 14:54:34 GMT 2024","791","tests","test_inventory","TestInventory","","","Проверка списка товаров",""
"passed","Fri Mar 22 14:54:37 GMT 2024","Fri Mar 22 14:54:38 GMT 2024","628","tests","test_login","TestLogin","","","Проверка на успешную авторизацию",""
"passed","Fri Mar 22 14:54:26 GMT 2024","Fri Mar 22 14:54:28 GMT 2024","1819","tests","test_cart","TestCart","","","Проверка удаления элемента из корзины",""
"passed","Fri Mar 22 14:54:34 GMT 2024","Fri Mar 22 14:54:37 GMT 2024","2796","tests","test_inventory","TestInventory","","","Проверка добавления покупки в корзину",""
"passed","Fri Mar 22 14:54:28 GMT 2024","Fri Mar 22 14:54:32 GMT 2024","4047","tests","test_inventory","TestInventory","","","Проверка открытия меню",""
